reknr,omschr,debet,credit,afsluiten,afgesloten,btwkode,grootboek,apko,kode,debeta,credita,debetper,creditper,fiche,omschrfr,omschrde,omschren,marge,wagenpark
"230000","INSTALLATIES",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"221000","GEBOUWEN",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"220609","GEB.AFSCHR.AFSLUITING",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"220600","AFSLUITING",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"220509","GEB.AFSCHR.PARKING",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"220500","PARKING",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"220000","TERREINEN",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"200100","KOST.KAPIT.VERHOGING",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"231000","MACHINES",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"288200","WAARBORG TELEFOON",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"418000","BTW MEDECONTRACTANT",0.0000,0.0000,"",F," "," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"416300","TERUGSTUURBARE VERPAKKING",0.0000,0.0000,"",F," "," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"406000","Vooruitbetalingen leveranciers (nt. Afgepunte)",0.0000,0.0000,"",F," "," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"400009","OPENING DEBITEUREN",0.0000,0.0000,"",F," "," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
